업체명,공장사업장주소,위도,경도
(주)윤성산업개발,대구광역시 달성군 하빈면 묘동길 199 ,35.903772,128.415982
청경그린산업(주),경상북도 경주시 외동읍 냉천제내공단길 235 ,35.721188,129.28288
태양산업(주),강원특별자치도 인제군 북면 금강로 332 ,38.146681,128.211087
태인아스콘(주),경기도 포천시 가산면 가산로 267번길 28,37.84482,127.178295
(주)삼보,경상남도 의령군 봉수면 직금로 271-16 ,35.461294,128.308107
(주)세경,경상남도 김해시 진영읍 김해대로 112 ,35.297342,128.708962
현대레미콘아스콘(주),강원특별자치도 태백시 연화산길 382-19(백산동)  ,37.143581,129.031942
선화산업(주),인천광역시 서구 도담3로 10 (오류동) ,37.59018,126.614182
(주)영빈산업,대구광역시 북구 검단공단로 107(검단동)  ,35.913828,128.611548
대성골재(주) 아스콘지점,경상북도 안동시 남선면 농공단지길 32 ,36.532704,128.778416
인성에이앤티(주) 인천공장,인천광역시 서구 도담로 161 (오류동) ,37.588458,126.618376
(주)인우이엔씨 인천공장,인천광역시 서구 도담6로 10  ,37.588152,126.617015
대신피씨티(주),인천광역시 서구 도담3로 5  ,37.590791,126.613654
포항아스콘(주),경상북도 포항시 북구 흥해읍 덕장리 648-7,36.149112,129.332094
현대아스콘(주),경상북도 안동시 남선면 농공단지길 17 ,36.531815,128.77786
(주)누보켐인천,인천광역시 서구 도담4로 28 (오류동) ,37.590318,126.615571
(주)검단아스콘,인천광역시 서구 도담3로 9 (오류동) ,37.59068,126.614238
우리산업(주),경상남도 통영시 광도면 안정로 544 ,34.932298,128.43124
항도산업개발(주),부산광역시 사하구 감천항로 253-6 (구평동) ,35.070814,128.992023
예일아스콘(주),충청남도 예산군 봉산면 봉산로 300-17 ,36.742889,126.683711
서부아스콘(주),인천광역시 서구 도담6로 17 (오류동) ,37.589263,126.616571
(유)도형,전북특별자치도 익산시 황등면 석재길 22 ,35.999308,126.952388
에스지이(주) 경인아스콘지점,인천광역시 서구 도담6로 19(오류동)  ,37.589874,126.616821
강원실업(주),강원특별자치도 강릉시 강동면 동해대로 1869-26 ,37.714487,128.979912
(유)군산아스콘,전북특별자치도 군산시 소룡동 11355  ,35.974282,126.679635
충청환경산업(주),세종특별자치시 부강면 시목부강로 433-20  ,36.504531,127.383873
제일알앤에이(주),강원특별자치도 홍천군 북방면 팔봉산로 2550 ,37.740781,127.824127
(주)청남,경상남도 남해군 고현면 남해대로 491497 ,34.716181,128.042442
삼성콘크리트(주),강원특별자치도 평창군 진부면 하송정길 313-7 ,37.622189,128.551396
(주)대경 함안지점,경상남도 함안군 군북면 방어산로 509 ,35.282953,128.303803
동헌산업(주) 주촌지점,경상남도 김해시 주촌면 서부로 1403번길 48,35.227434,128.816426
명성산업(주),강원특별자치도 삼척시 원덕읍 삼척로 1294 ,37.2391,129.339941
우리도시개발(주),경기도 안성시 원곡면 지문로 410 ,37.070826,127.145945
(주) 지석에이앤씨,경상남도 김해시 진영읍 본산로 70 ,35.310786,128.742237
강원아스콘(주),강원특별자치도 춘천시 동산면 종자리로 515 ,37.762611,127.75766
케이와이PC(주),인천광역시 서구 가람로 25 (오류동) ,37.587819,126.600378
유모아아스콘(주),전라남도 나주시 봉황면 도천로 184-79 ,34.962897,126.822324
에스지이(주),인천광역시 서구 봉수대로 300번길 15 (석남동),37.502523,126.66354
(주)보광산업,경상남도 함안군 칠서면 삼칠로 767 ,35.353807,128.48687
(주)보성산업,경상남도 함안군 대산면 옥렬리 22828 ,35.321227,128.423737
대종아스콘(주),경상북도 경주시 양북면 명주길 38-47 ,35.772322,129.443755
(주) 신진,대구광역시 군위군 효령면 효령공단길 46369 ,36.151273,128.591075
라인리사이클(주),경상북도 안동시 남후면 농공길 57 ,36.501262,128.658094
예산아스콘(주),충청남도 예산군 신암면 용산로 30256 ,36.728724,126.797229
(주)우현레미콘,경상북도 포항시 북구 청하면 고현리 227-3,36.161583,129.340315
(주)한동아스콘,경상북도 경주시 안강읍 두류길 194-22 ,35.970909,129.165666
(주)태산개발,경상북도 고령군 다산면 송곡리 산 102,35.79334,128.389152
(주)공영사,경기도 광주시 초월읍 산수로 311-30 ,37.390485,127.312288
방태산업(주),경기도 광주시 초월읍 산수로 311-32 ,37.391346,127.311982
(주)새재아스콘,경상북도 문경시 신기로 68-25 (신기동) ,36.627244,128.170246
(주)강동아스콘,전라남도 광양시 광양읍 직동2길 15 ,34.964456,127.642475
제이에스개발(주),경상남도 진주시 진성면 진의로 471 ,35.219542,128.199035
(주)삼성산업,강원특별자치도 강릉시 강동면 오이골말길 91 ,37.682074,129.000049
광영아스콘지점,강원특별자치도 영월군 북면 밤재로 381 ,37.263007,128.468741
영종산업(주),울산광역시 울주군 삼동면 삼동로 858-3 ,35.520348,129.164726
