업체명,주소,위도,경도
합자회사태광레미콘,강원도 삼척시 근덕면 삼척로 3069-88,37.330255,129.248671
(주)광영레미콘,강원도 영월군 남면 영월로 1115-8,37.208541,128.411413
우림레미콘산업㈜,강원도 평창군 대관령면 유천리 39-4,37.679766,128.647831
대성레미콘(주),강원도 인제군 북면 금강로 387,38.150209,128.212365
합자회사 태강콘크리트,강원도 고성군 간성읍 탑동길 167-1,38.36638,128.468117
동해레미콘(주),강원도 동해시 쉬눔길8(추암동),37.467211,129.150511
강호레미콘(주),강원도 삼척시 원덕읍 가곡천로 3048,37.165997,129.332776
(주)횡성레미콘아스콘,강원도 횡성군 우천면 전재로 119,37.444678,128.08544
기륭레미콘(주),강원도 삼척시 도계읍 늑구점리길 166,37.253901,129.043051
(주)삼봉레미콘,강원도 삼척시 미로면 강원남부로 3351,37.376749,129.096322
서진레미콘(주),강원도 원주시 문막읍 문막공단길 268,37.301193,127.807133
한라엔컴(ENCOM)(주)원주사업소,강원도 원주시 행구덕현길 39-15(행구동),37.339828,127.999949
삼화산업(주),강원 삼척시 원덕읍 노곡리 349,37.217602,129.338414
주식회사 서강레미콘,강원 강릉시 강동면 임곡리   임곡로 604-8,37.696406,128.979218
(주)금강레미콘,강원도 고성군 토성면 용원로 470,38.218759,128.530002
㈜삼승레미콘,강원 삼척시 미로면 천기리 25,37.3705,129.103322
유덕레미콘(주),강원도 춘천시 퇴계공단길 49-7(퇴계동),37.845074,127.736717
(주)화천레미콘,강원도 화천군 화천읍 평화로 655-10,38.103961,127.760212
현대레미콘(주),강원도 원주시 문막읍 큰애니길 19,37.325773,127.834102
(주)새성도레미콘,강원특별자치도 태백시 태백로 2034(장성동),37.095058,129.016722
(주)솔향,강원 강릉시 연곡면 조부동길 204,37.847887,128.848283
(주)정선레미콘,강원도 정선군 정선읍 북실싸내길 22,37.385605,128.633669
(주)쌍용산업,강원특별자치도 강릉시 연곡면 조부동길 236,37.845776,128.845284
섬강산업(주),강원도 횡성군 횡성읍 한우로 696,37.492617,128.026
